X,Y,name,elevation
-74.0571749051,4.6554134512,394 Universidad EAN,
-74.0594090901,4.6519903085,279 Cl 67,
-74.0594922778,4.6516704985,584 Cámara de Comercio cl 67,
-74.0602290835,4.6492778411,104 Chapinero Norte,
-74.0556834678,4.6574507462,105 Cra 9,
-74.0539127573,4.6601987162,106 Gimnasio Moderno,
-74.0529382724,4.6615726972,107 El Nogal,
-74.0609601885,4.639040805,555 Cli Santo Tomas,2631.5
-74.070909277,4.6413558904,035 Banco Central,2591.8
-74.0677897161,4.6408574299,055 Quesada,2600.4
-74.0655351989,4.6405160881,034 Estación Marly,2605.6
-74.0638872513,4.6399696985,056 Marly,2612.5
-74.0765404806,4.64239325,259 Galerías,2575.8
-74.042579513,4.6739543974,342  Museo del Chicó,2613.9
-74.0465438284,4.6660610019,363 La Cabrera,2627.3
-74.0444553934,4.6704235467,348 El Chicó,2620.4
-74.0519429371,4.6680343011,281 CC La Cabrera,2588.5
-74.0624557321,4.667453994,679 Juan XXIII,2576.2
-74.0591651359,4.6724294937,766 Estación cl 85,2581.3
-74.0775964029,4.624587397,088 Concejo de Bogotá,2604.2524936922
-74.0758646646,4.6242195974,090 Conaced,
-74.0741058381,4.6239530785,182 Teusaquillo,
-74.0777919308,4.6242982842,089 INPEC,2608.4857962833
-74.0676364183,4.6494568075,354 Centro Johannes Kepler,
-74.0624558553,4.6681716805,708 El Polo club,2582.5
-74.0414195519,4.6813055389,131 Escuela de infantería,2601
-74.0430312243,4.6822107137,216 Universidad militar Nueva granada,2598.8
-74.0450814103,4.6832248564,215 Colsanitas cl 100,2599.4
-74.0596939344,4.6871920055,211 La Castellana,2591.9
-74.0640725856,4.6884528697,001 CC Iserra 100,2588.6
-74.0644701446,4.687759192,NZM,2584.7
-74.0630357311,4.684934826,NZN,2583.4
-74.0643207136,4.6806260438,NZO,2579.8
-74.0670550868,4.6761622867,NZP,2584.8
-74.0644724286,4.6707332205,168 Estación polo,2582.3
-74.0493801414,4.679054947,116 Av 15,2601.5
-74.0468492178,4.6777775007,286 Chicó norte,2599
-74.0457118303,4.6783900168,219 Chicó norte,2595.8
-74.0443578176,4.6810330823,218 Chicó norte II sector,2595.1
-74.0437681507,4.6821002243,NZQ,2596.5
-74.0605495853,4.6785921402,669 La Castellana,2578.2
-74.0573028184,4.6836705739,NZR,2590.7
-74.0540413753,4.6819101164,290 Hotel Dann Carlton,2588.2
-74.0524651506,4.6845357539,292 Chicó norte III sector,2592.1
-74.0627347409,4.6749859164,NZS,2589.6
-74.0599898548,4.6728857685,721 Estación calle 85,2588.7
-74.0594719816,4.6756755793,720 Estación Virrey,2585.8
-74.0677082636,4.6216267375,093 Samper,2597.9
-74.0702219375,4.6229566221,092 Teusaquillo,2602
-74.0718723093,4.6232706602,350 Teusaquillo,2601.8
-74.0742428032,4.6236720277,183 Teusaquillo,2594.6
