stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
266,331,Juan XXIII  ,331A00 Juan XXIII  ,-74.0642137368,4.6678341515,0,,0,,co,0
267,332,La Aurora  ,332A00 La Aurora  ,-74.0656453842,4.6656779228,0,,0,,co,0
268,333,San Felipe  ,333A00 San Felipe  ,-74.065518405,4.6653144079,0,,0,,co,0
269,335,Alcázares Norte  ,335A00 Alcázares Norte  ,-74.0667535923,4.6638553357,0,,0,,co,0
270,336,Los Alcázares  ,336A00 Los Alcázares  ,-74.0692711546,4.6599595607,0,,0,,co,0
271,337,Quinta Mutis  ,337A00 Quinta Mutis  ,-74.0720015241,4.6546856725,0,,0,,co,0
272,338,Muequeta   ,338A00 Muequeta   ,-74.0717342751,4.6542143318,0,,0,,co,0
273,339,Quinta Mutis  ,339A00 Quinta Mutis  ,-74.072382796,4.6524144414,0,,0,,co,0
274,340,Muequetá   ,340A00 Muequetá   ,-74.0721626925,4.6517863878,0,,0,,co,0
275,341,San Luis cl 61F,341A00 San Luis cl 61F,-74.0726024359,4.6496494347,0,,0,,co,0
276,342,Museo del Chicó ,342A00 Museo del Chicó ,-74.042579513,4.6739543974,0,,0,,co,0
277,343,Seminario Canciller de Bogotá,343A00 Seminario Canciller de Bogotá,-74.0419043403,4.6740551958,0,,0,,co,0
278,344,Museo El Chicó ,344A00 Museo El Chicó ,-74.0409636681,4.6753000062,0,,0,,co,0
279,346,Santa Isabel sur ,346A00 Santa Isabel sur ,-74.1064017336,4.5984992406,0,,0,,co,0
280,347,Teusaquillo   ,347A00 Teusaquillo   ,-74.0720276686,4.6239636944,0,,0,,co,0
281,348,El Chicó  ,348A00 El Chicó  ,-74.0444553934,4.6704235467,0,,0,,co,0
282,349,CAI Teusaquillo  ,349A00 CAI Teusaquillo  ,-74.0717543375,4.6235505901,0,,0,,co,0
283,350,Teusaquillo   ,350A00 Teusaquillo   ,-74.0718723093,4.6232706602,0,,0,,co,0
284,351,Urb La Magdalena ,351A00 Urb La Magdalena ,-74.0726278087,4.6289505411,0,,0,,co,0
285,352,Sabio Caldas  ,352A00 Sabio Caldas  ,-74.0702807261,4.6355601318,0,,0,,co,0
286,353,Cl Eusalud  ,353A00 Cl Eusalud  ,-74.0688368246,4.643028421,0,,0,,co,0
287,354,Centro Johannes Kepler ,354A00 Centro Johannes Kepler ,-74.0676364183,4.6494568075,0,,0,,co,0
288,355,Br Concepcion norte ,355A00 Br Concepcion norte ,-74.0653032681,4.6567309187,0,,0,,co,0
289,356,Galerías   ,356A00 Galerías   ,-74.0739858079,4.641205343,0,,0,,co,0
290,357,Santa Isabel sur ,357A00 Santa Isabel sur ,-74.1015159432,4.5950890812,0,,0,,co,0
291,358,El vergel  ,358A00 El vergel  ,-74.0979777271,4.594839049,0,,0,,co,0
292,359,Eduardo Santos  ,359A00 Eduardo Santos  ,-74.0931475899,4.5934349108,0,,0,,co,0
293,360,Eduardo Santos  ,360A00 Eduardo Santos  ,-74.0910928056,4.5928037263,0,,0,,co,0
294,362,CC Galerías  ,362A00 CC Galerías  ,-74.0741172161,4.6413289025,0,,0,,co,0
295,363,La Cabrera  ,363A00 La Cabrera  ,-74.0465438284,4.6660610019,0,,0,,co,0
296,364,Cl 83  ,364A00 Cl 83  ,-74.0485419875,4.6634710513,0,,0,,co,0
297,365,Embajada de Italia ,365A00 Embajada de Italia ,-74.0517809541,4.6600777874,0,,0,,co,0
298,366,El Nogal  ,366A00 El Nogal  ,-74.0525375375,4.658904884,0,,0,,co,0
299,367,Calle 74  ,367A00 Calle 74  ,-74.0541859344,4.6571520763,0,,0,,co,0
300,368,Bellavista   ,368A00 Bellavista   ,-74.0539283935,4.6571519182,0,,0,,co,0
301,373,Av Cra 7 ,373A00 Av Cra 7 ,-74.0593403857,4.6490715025,0,,0,,co,0
302,374,U. de la Salle,374A00 U. de la Salle,-74.0616137897,4.6438310396,0,,0,,co,0
303,375,U. de la Salle,375A00 U. de la Salle,-74.0611050173,4.6459333886,0,,0,,co,0
304,377,Dirección de Sanidad ,377A00 Dirección de Sanidad ,-74.0631370656,4.639236398,0,,0,,co,0
305,380,Pardo Rubio  ,380A00 Pardo Rubio  ,-74.0638856116,4.6356367366,0,,0,,co,0
306,381,Pardo Rubio  ,381A00 Pardo Rubio  ,-74.0637344308,4.6335708071,0,,0,,co,0
307,383,U Javeriana  ,383A00 U Javeriana  ,-74.0643463098,4.6305596083,0,,0,,co,0
308,384,U Javeriana  ,384A00 U Javeriana  ,-74.0650920242,4.6278631537,0,,0,,co,0
309,386,Pq Nacional  ,386A00 Pq Nacional  ,-74.0659584771,4.6243437233,0,,0,,co,0
